description,keywords,title,sentiment
"REE Automotive, an electric vehicle platform provider, announced that it will release its Q4 2022 financial results on March 16, 2023, and host a webcast and conference call to discuss the results.","['REE Automotive', 'electric vehicles', 'financial results']","REE Automotive, Ltd. Announces Date for Fourth Quarter 2022 Earnings Release and Conference Call",neutral
"Cross Country Healthcare (CCRN) is expected to report a year-over-year decline in earnings and lower revenues for the quarter ended June 2023. The company's earnings report on August 2, 2023, will be closely watched to see if the actual results beat or miss the consensus estimates.","['earnings', 'consensus outlook', 'earnings report', 'estimate revisions', 'earnings surprise']",Analysts Estimate Cross Country Healthcare (CCRN) to Report a Decline in Earnings: What to Look Out for,negative
"Biogen's Alzheimer's treatment Leqembi shows promise, leading a Raymond James analyst to upgrade the company's rating to Outperform with a price target of $283. The analyst expects robust growth for Biogen in 2024 with Leqembi and another drug, Skyclarys.","['Biogen', ""Alzheimer's"", 'Leqembi', 'Skyclarys']",Why This Biogen Analyst Is Turning Bullish On Alzheimer's Treatment Prospects,positive
"American Express is expected to report earnings on July 21, 2023, with analysts forecasting a year-over-year increase in earnings and revenues. The company's Earnings ESP suggests it is likely to beat the consensus EPS estimate, though its Zacks Rank of 3 indicates a neutral outlook.","['earnings', 'consensus outlook', 'earnings surprise', 'Zacks Rank', 'Earnings ESP']",American Express (AXP) Earnings Expected to Grow: Should You Buy?,positive
"Brown & Brown's new businesses, improved customer retention, premium rate increases, strategic acquisitions, and strong financial position make it a promising investment. The company has a history of delivering earnings surprises and outperforming the industry in terms of earnings growth.","['Brown & Brown', 'insurance broker', 'acquisitions', 'earnings growth']",Here's Why You Must Buy Brown & Brown (BRO) Stock Right Now,positive
"Dollar General reported a mixed Q3 earnings, with earnings per share beating estimates but declining 45.9% year-over-year. The company's same-store sales fell 1.3% due to lower average transaction amounts, and management has lowered its full-year earnings guidance.","['Dollar General', 'earnings', 'same-store sales', 'guidance']",Bear of the Day: Dollar General (DG),negative
"LiveOne has increased its stock repurchase program to $5.45 million and has repurchased 2.6 million shares to date. The company also extended the record date for its planned special dividend of a portion of PodcastOne's shares to May 3, 2023. LiveOne has a current cash position of $9 million and $28 million in short-term assets.","['stock repurchase', 'special dividend', 'PodcastOne', 'cash position']",LiveOne Significantly Increases Its Share Buyback to $5.45 Million,positive
"The article discusses the investment potential of Etsy and Shopify, two e-commerce marketplace platform stocks. It highlights Etsy's recent return to growth and potential for margin expansion, as well as Shopify's clear path towards growth and profitability. The article suggests that Etsy may be the more attractive value option currently.","['Etsy', 'Shopify', 'e-commerce', 'marketplace', 'growth stocks', 'valuation']",Better Buy: Etsy or Shopify Stock?,positive
"Patterson-UTI Energy and NexTier Oilfield Solutions have announced a $1.9 billion all-stock merger deal, creating the second-largest energy services provider in North America. The combined company will benefit from synergies and cost savings, and is expected to be better equipped to serve a more consolidated upstream customer base.","['merger', 'oilfield services', 'energy', 'drilling', 'fracking']","Patterson-UTI, NexTier Combine to Create Oil Services Giant",positive
"Two transportation stocks, United Airlines (UAL) and American Airlines (AAL), are expected to report positive earnings surprises based on their Earnings ESP (Expected Surprise Prediction) metrics. Investors may want to consider these stocks as they have a higher probability of beating their earnings consensus estimates.","['transportation stocks', 'earnings surprises', 'Earnings ESP']",These 2 Transportation Stocks Could Beat Earnings: Why They Should Be on Your Radar,positive
"VALE S.A. (VALE) stock closed the trading day at $13.77, down 1.92% from the previous session. The company is expected to report lower earnings and revenue in the upcoming quarter compared to the prior-year period.","['VALE S.A.', 'earnings', 'revenue', 'stock performance']",VALE S.A. (VALE) Stock Sinks As Market Gains: What You Should Know,negative
"Blade Air Mobility, a technology-powered air mobility platform, announced that its CEO will present at two upcoming investor conferences, Baird 2023 Vehicle Technology and Mobility Conference and Citi 2023 Global Industrial Tech and Mobility Conference.","['air mobility', 'investor conferences', 'Blade Air Mobility']",Blade Air Mobility to Present at Upcoming Investor Conferences,positive
"Amgen Inc. (AMGN) has seen a 14.9% increase in its stock price over the past month, outperforming the broader market. The company's earnings estimates have also been revised upwards, indicating a positive outlook. However, the stock is currently rated as a 'Hold' by Zacks, suggesting it may perform in line with the market in the near term.","['Amgen', 'earnings estimates', 'stock performance']",Amgen Inc. (AMGN) is Attracting Investor Attention: Here is What You Should Know,positive
"Edible Garden, a leader in controlled environment agriculture, has expanded its distribution partnership with King Kullen and IGA retail locations across Long Island, New York, in time for the 2023 summer season. This move aims to meet the growing consumer demand for the company's fresh, sustainably grown produce and herbs.","['Edible Garden', 'King Kullen', 'IGA', 'distribution expansion', 'summer season']","Edible Garden Kicks-Off Summer Season- Broadens Distribution at King Kullen and IGA Locations Across Long Island, New York",positive
"Roku (ROKU) stock fell 0.19% on the day, underperforming the broader market. The company is expected to report weaker earnings in its upcoming release, with analysts revising their estimates downward in the past 30 days.","['Roku', 'earnings', 'stock performance']",Roku (ROKU) Suffers a Larger Drop Than the General Market: Key Insights,negative
"Verizon Communications offers a high dividend yield of 7.1%, but its lack of growth and declining revenue raise concerns about the sustainability of the dividend. While it may be a safe investment for those seeking steady income, younger investors may find better long-term options elsewhere.","['Verizon', 'dividend', 'investment', 'growth']",Looking for Dividends? Verizon's 7.1% Yield May Make It a Top Stock to Buy Right Now,neutral
The FDA has accepted Roche's application for Xolair to reduce allergic reactions to multiple foods in patients with food allergies. Interim results from a phase III study showed Xolair significantly increased the amount of food it took to cause an allergic reaction.,"['food allergies', 'Xolair', 'FDA', 'phase III study']",FDA grants priority review to Xolair (omalizumab) for children and adults with food allergies based on positive National Institutes of Health phase III study results,positive
"Integer, a medical device outsource manufacturer, reported strong Q2 2023 earnings and revenue results, beating consensus estimates. The company's shares have outperformed the market so far this year, and the positive earnings outlook suggests the stock is expected to continue outperforming.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Integer (ITGR) Tops Q2 Earnings and Revenue Estimates,positive
"Inogen (INGN) is expected to report a loss for the quarter ended December 2022, with analysts revising their estimates downward in recent weeks. The company's earnings report on February 23 could impact its stock price, depending on how the actual results compare to expectations.","['earnings', 'consensus outlook', 'earnings surprise', 'earnings expectations', 'stock price']",Inogen (INGN) May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,negative
"NIKE Inc. is expected to report revenue growth but a decline in earnings for the first quarter of fiscal 2024. The company's performance is likely to be impacted by supply chain constraints, weakness in Greater China, and higher costs, despite gains from its Consumer Direct Acceleration strategy and strong demand.","['NIKE', 'earnings', 'revenue', 'costs', 'supply chain', 'Greater China']",NIKE (NKE) to Post Q1 Earnings: Will Costs Mar Sturdy Sales?,neutral
"The article discusses the latest research reports on Cisco Systems, T-Mobile US, Stryker, The Progressive, and PayPal. It highlights the key points and performance of these companies.","['Cisco Systems', 'T-Mobile US', 'Stryker', 'The Progressive', 'PayPal']","The Zacks Analyst Blog Highlights Cisco, T-Mobile US, Stryker, The Progressive and PayPal",positive
"XOMA Corporation announced cash dividends for its Series A and Series B Preferred Stock, to be paid on October 16, 2023, to holders of record as of October 5, 2023.","['dividends', 'preferred stock', 'XOMA Corporation']",XOMA Declares Quarterly Preferred Stock Dividends,positive
"Electronic Arts has unveiled the official soundtrack for EA SPORTS FC 24, featuring a diverse collection of songs from renowned and emerging artists worldwide. The game also boasts exclusive partnerships with major leagues and the Ballon d'Or ceremony, as well as innovative features like HyperMotionV and SAPIEN player modes, aimed at enhancing the overall matchday experience.","['EA SPORTS FC 24', 'soundtrack', 'partnerships', 'features', 'HyperMotionV', 'SAPIEN']",Electronic Arts (EA) Unveils Soundtrack for EA SPORTS FC 24,positive
"XP Inc.A reported Q4 2022 earnings of $0.30 per share, missing the Zacks Consensus Estimate of $0.92 per share. The company's revenue of $603.74 million also fell short of the consensus estimate. The stock has underperformed the S&P 500 so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",XP Inc.A (XP) Misses Q4 Earnings and Revenue Estimates,negative
"MeiraGTx announced positive results from a Phase 1 study of its gene therapy AAV2-hAQP1 for treating radiation-induced xerostomia. The data showed clinically meaningful improvements in patient-reported outcomes and increases in saliva production, with greater benefits in participants treated bilaterally. The company has initiated a Phase 2 study to further evaluate the therapy.","['gene therapy', 'radiation-induced xerostomia', 'clinical trial', 'patient-reported outcomes', 'saliva production']",MeiraGTx Announces Positive Clinical Data from the AQUAx Phase 1 Clinical Study of AAV2-hAQP1 for the Treatment of Grade 2/3 Radiation-Induced Xerostomia,positive
"Over the past 3 months, 6 analysts have published their opinion on Corcept Therapeutics stock. The analysts have an average price target of $28.33, implying a 7.11% decrease from the previous average price target of $30.50.","['Corcept Therapeutics', 'analyst ratings', 'price target']",Analyst Expectations for Corcept Therapeutics's Future,neutral
"Spectrum Brands (SPB) is expected to report strong quarterly earnings, with a 137.5% increase in earnings per share and a 1.4% increase in revenue. Analysts have revised their earnings estimates upward over the past 30 days, indicating positive sentiment. The article also provides insights into analysts' projections for various Spectrum Brands' business segments.","['Spectrum Brands', 'earnings', 'revenue', 'analysts', 'estimates']",Unlocking Q4 Potential of Spectrum (SPB): Exploring Wall Street Estimates for Key Metrics,positive
"Insiders have been aggressively buying shares in MyMD Pharmaceuticals, LQR House, and CommScope Holding, indicating their confidence in the companies' prospects.","['penny stocks', 'insider trading', 'MyMD Pharmaceuticals', 'LQR House', 'CommScope Holding']",MyMD Pharmaceuticals And 2 Other Penny Stocks Insiders Are Aggressively Buying,positive
"Fortis Inc. will release its second quarter 2023 financial results on August 2, 2023, and hold a teleconference and webcast to discuss the results.","['Fortis Inc.', 'financial results', 'second quarter 2023']",Fortis Inc. to Hold Teleconference and Webcast on August 2 to Discuss Second Quarter 2023 Results ,neutral
"Pasithea Therapeutics announced the completion of its tender offer to acquire up to 5,714,285 shares of its common stock at $0.70 per share. The company accepted all 5,323,451 shares that were validly tendered, and the remaining shares outstanding will be 20,819,956.","['Pasithea Therapeutics', 'tender offer', 'stock buyback', 'liquidity']",Pasithea Therapeutics Corp. Announces Final Results of Tender Offer,positive
"Berkshire Hathaway has invested in Taiwan Semiconductor Manufacturing (TSMC), a leading chip foundry company. TSMC's advanced chip technology and strong financial performance make it an attractive long-term investment, despite a projected slowdown in 2023.","['Berkshire Hathaway', 'Taiwan Semiconductor Manufacturing', 'chip foundry', 'semiconductor', 'long-term investment']",Is Taiwan Semiconductor a Top Warren Buffett Stock to Buy for 2023?,positive
"Alliance Resource Partners, L.P. (ARLP) closed at $17.87, down 0.89% from the previous day, lagging the S&P 500's 0.04% loss. Analysts expect the company to post earnings of $1.30 per share, up 5.69% year-over-year, and revenue of $667.39 million, up 8.25% from the previous year.","['Alliance Resource Partners', 'stock performance', 'earnings report', 'revenue']","Alliance Resource Partners, L.P. (ARLP) Dips More Than Broader Markets: What You Should Know",neutral
"The article discusses the potential of short-squeeze penny stocks, highlighting recent examples like AMC, GameStop, and AMTD Digital. It then focuses on three specific penny stocks - Ambrx Biopharma, Biora Therapeutics, and Luminar Technologies - analyzing their short interest and upcoming catalysts.","['penny stocks', 'short squeeze', 'AMAM', 'BIOR', 'LAZR']",Penny Stocks To Buy? 3 With High Short Interest To Watch This Week,positive
"Earnings surprises can significantly impact stock prices, and the Zacks Earnings ESP filter can help identify stocks likely to beat earnings expectations. The article discusses the importance of earnings reports and how the Earnings ESP can be used to find profitable trading opportunities.","['earnings', 'earnings surprises', 'Zacks Earnings ESP', 'stock trading']",Why Investors Need to Take Advantage of These 2 Aerospace Stocks Now,positive
"Chicago Atlantic Real Estate Finance, Inc. reported its financial results for the fourth quarter and full year 2022. The company maintained a strong dividend payout ratio and expects to continue its regular quarterly dividend in 2023.","['Chicago Atlantic Real Estate Finance', 'real estate finance', 'cannabis lending', 'dividend']",Chicago Atlantic Real Estate Finance Announces Fourth Quarter 2022 Financial Results,positive
"Shopify's stock has seen a significant increase of 25.6% over the past month, outperforming the broader market. The article analyzes the company's earnings estimates, revenue growth, and valuation, suggesting that Shopify may perform in line with the market in the near term.","['Shopify', 'earnings estimates', 'revenue growth', 'valuation']",Investors Heavily Search Shopify Inc. (SHOP): Here is What You Need to Know,neutral
"Over the past 3 months, 4 analysts have published their opinion on Citi Trends (CTRN) stock, with an average price target of $30.75, implying upside potential from the current price of $21.03.","['Citi Trends', 'analyst ratings']",Analyst Ratings for Citi Trends,positive
"The market started the trading week in the negative but turned positive midday, with the Dow, S&P 500, Nasdaq, and Russell 2000 all closing higher. Two Fed officials commented that high bond yields are helping the Fed fight inflation, causing a change in market sentiment. Oil prices and defense stocks like Northrop Grumman also saw gains, potentially due to the conflict between Israel and Palestine.","['market', 'Fed', 'inflation', 'oil', 'defense stocks']","Markets Gain on Fed Statements, Higher Oil & Defense",positive
"MongoDB (MDB) stock has outperformed its Computer and Technology peers so far this year, with a year-to-date gain of 15.9% compared to the sector's average of 14%. The stock has a Zacks Rank #2 (Buy) and its earnings outlook has improved over the past 90 days. Another stock, RingCentral (RNG), has also outperformed the sector with a 19.4% year-to-date return.","['MongoDB', 'RingCentral', 'Computer and Technology', 'Zacks Rank']",Is MongoDB (MDB) Stock Outpacing Its Computer and Technology Peers This Year?,positive
"Rhythm Pharmaceuticals, a biopharmaceutical company, announced the grant of inducement equity grants to seven new employees, including stock options and restricted stock units, as part of their employment agreements.","['Rhythm Pharmaceuticals', 'inducement equity grants', 'stock options', 'restricted stock units']",Rhythm Pharmaceuticals Announces New Employment Inducement Grants,positive
Kronos Bio has decided to stop the phase 1b/2 trial of lanraplenib in combination with gilteritinib for FLT3-mutated relapsed/refractory acute myeloid leukemia (AML) due to insufficient response. The company is open to further development of lanraplenib with a partner.,"['Kronos Bio', 'lanraplenib', 'gilteritinib', 'acute myeloid leukemia', 'AML', 'KB-9558', 'KB-0742']",Cancer Player Kronos Bio To Stop Lanraplenib Combo Therapy Blood Cancer Study,negative
"Castellum, Inc. (NYSE-American: CTM), a cybersecurity and software services company, has signed a non-binding $4 million debt term sheet with a regional bank. The closing of the debt financing is subject to due diligence and the negotiation of definitive loan documents. The company expects the transaction to close in approximately six weeks, which will facilitate the partial paydown and extension of its 2024 debt maturities.","['Castellum', 'debt financing', 'cybersecurity', 'software services']","Castellum, Inc. Announces Execution of Debt Term Sheet",positive
"BTIG has maintained its Buy rating for Braze and raised the price target from $43 to $50, indicating a potential upside of nearly 10% from the current share price.","['Braze', 'BTIG', 'analyst rating']",BTIG Maintains Buy Rating for Braze: Here's What You Need To Know,positive
"Analysts have provided an average price target of $191.85 for Snowflake (SNOW), with a high of $220.00 and a low of $105.00. The current average price target has increased by 3.52% from the previous average of $185.33.","['Snowflake', 'analyst expectations', 'price target']",Analyst Expectations for Snowflake's Future,positive
"The article discusses how retirees can improve their retirement income by investing in high-quality dividend-paying stocks, which can provide a steady and higher-rate income stream to offset low bond yields and potential reductions in Social Security benefits.","['retirement income', 'dividend stocks', 'bond yields', 'Social Security']",Improve Your Retirement Income with These 3 Top-Ranked Dividend Stocks,positive
"Analysts have updated price targets and ratings for several companies, including Baidu, Axsome Therapeutics, Twilio, Cohu, PACCAR, Wells Fargo, Delta Air Lines, and State Street Corporation.","['Baidu', 'Axsome Therapeutics', 'Twilio', 'Cohu', 'PACCAR', 'Wells Fargo', 'Delta Air Lines', 'State Street Corporation']",Baidu To Rally Around 32%? Here Are 10 Other Analyst Forecasts For Monday,positive
"Advanced Micro Devices (AMD) saw a 4% jump in stock price on Thursday due to the announcement of two new workstation graphics cards and a significant price target increase by an analyst, who believes AMD is well-positioned to benefit from the adoption of artificial intelligence.","['Advanced Micro Devices', 'AMD', 'workstation graphics cards', 'artificial intelligence']",Why Advanced Micro Devices Stock Triumphed Today,positive
"The article discusses several tech companies that could be attractive investments despite recent market volatility. It highlights Amazon, Apple, and Advanced Micro Devices (AMD) as companies with strong growth potential in areas like AI, cloud computing, and virtual/augmented reality.","['tech stocks', 'market volatility', 'Amazon', 'Apple', 'AMD', 'AI', 'cloud computing', 'virtual/augmented reality']",Looking for Tech Stocks? These 3 Are Great Buys.,positive
"Eversource Energy is scheduled to release its Q1 2023 results on May 3. The company's earnings are expected to benefit from new rates and higher transmission capital investments, but higher expenses may offset some of the positives. The Zacks Consensus Estimate for earnings is $1.36 per share, indicating a year-over-year increase of 4.62%.","['Eversource Energy', 'earnings', 'Q1 2023', 'rates', 'transmission capital investments', 'expenses']",Eversource Energy (ES) to Post Q1 Earnings: What's in Store?,positive
"Stifel Financial (NYSE:SF) has received an average price target of $86.6 from 5 analysts, implying a potential upside. The average price target has increased by 0.7% over the past month.","['Stifel Financial', 'analyst ratings', 'price target']",The Latest Analyst Ratings for Stifel Financial,positive
"Vigil Neuroscience has dosed the first participant in a Phase 1 clinical trial evaluating VG-3927, a small molecule TREM2 agonist, for the potential treatment of Alzheimer's disease. The trial aims to assess the safety, tolerability, pharmacokinetics, and pharmacodynamics of VG-3927.","['Vigil Neuroscience', 'VG-3927', 'TREM2 agonist', ""Alzheimer's disease"", 'Phase 1 clinical trial']","Vigil Neuroscience Announces First Participant Dosed in Phase 1 Clinical Trial in Healthy Volunteers Evaluating VG-3927, a Small Molecule TREM2 Agonist, for Potential Treatment of Alzheimer’s Disease",positive
"Vision Sensing Acquisition Corp. has extended the deadline to complete its initial business combination with Newsight Imaging Ltd. by paying a $60,000 fee to extend the deadline from December 3, 2023, to January 3, 2024.","['Vision Sensing Acquisition Corp.', 'Newsight Imaging Ltd.', 'business combination', 'deadline extension']","Vision Sensing Acquisition Corp. Announces Payment of Fee to Extend Period to Consummate Initial Business Combination to January 3, 2024",neutral
"Charles River Laboratories International, Inc. is expected to report its Q1 2023 results on May 11. The company's Research Models and Services segment is likely to have gained from continued global demand, while the Discovery and Safety Assessment arm is expected to benefit from growth in the Safety Assessment business. The Manufacturing Support segment is also expected to have driven revenues.","['Charles River Laboratories', 'Q1 2023 earnings', 'Research Models and Services', 'Discovery and Safety Assessment', 'Manufacturing Support']",Charles River (CRL) to Report Q1 Earnings: What's in Store?,positive
"U.S. stocks traded higher on Wednesday, with the Dow Jones gaining over 50 points. The ADP reported private businesses added 89,000 workers in September, less than expected.","['US stocks', 'ADP data', 'Dow Jones', 'private businesses']",US Stocks Rise Following ADP Data; Dow Rises Over 50 Points,negative
"Over the past 3 months, 6 analysts have published their opinions on Webster Finl (WBS) stock. The company has an average price target of $48.00, with a high of $53.00 and a low of $43.00. The average price target has increased by 2.13% over the past month.","['Webster Finl', 'analyst ratings']",The Latest Analyst Ratings for Webster Finl,neutral
"Masimo Corporation has been gaining from its solid product suite and regulatory approvals. The company's strong first-quarter 2023 performance and its slew of regulatory approvals are expected to contribute further. However, concerns regarding overdependence on Masimo SET and stiff competition persist.","['Masimo Corporation', 'product suite', 'regulatory approvals', 'first-quarter 2023 performance', 'Masimo SET', 'competition']",Three Reasons to Add Masimo (MASI) Stock to Your Portfolio,positive
"Skyworks Solutions reported strong fiscal Q1 results, including record quarterly cash flow, and announced a $2 billion buyback program. Several analysts raised their price targets on the stock following the earnings report.","['Skyworks Solutions', 'earnings', 'buyback', 'price target']",Why Skyworks Solutions Stock Is Trading Higher Today,positive
"Truist Securities has maintained its Buy rating for Skyward Specialty (NASDAQ:SKWD) and raised the price target from $35.00 to $40.00, representing a potential upside of 29.03% from the current share price.","['Skyward Specialty', 'Truist Securities', 'analyst rating']",Truist Securities Maintains Buy Rating for Skyward Specialty: Here's What You Need To Know,positive
"Toll Brothers, a home builder, reported better-than-expected earnings and revenues for the first quarter of 2023. The company's earnings and revenues surpassed the Zacks Consensus Estimate, and it has outperformed the market so far this year.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Toll Brothers (TOL) Q1 Earnings and Revenues Top Estimates,positive
"If you had invested $1000 in Caterpillar (CAT) 10 years ago, your investment would now be worth $2,898.44, a 189.84% gain. Caterpillar's strong performance is attributed to its cost-saving actions, demand in key end markets, and pricing actions that offset supply chain and cost pressures.","['Caterpillar', 'investment', 'stock performance', 'global economy']","If You Invested $1000 in Caterpillar a Decade Ago, This is How Much It'd Be Worth Now",positive
"Symbotic, an automation technology and robotics company, is using AI to modernize the supply chain and logistics industry. The company has a strong customer base, including major retailers like Walmart, and has recently expanded its total addressable market through a joint venture with SoftBank.","['Symbotic', 'AI', 'supply chain', 'logistics', 'Walmart', 'SoftBank']",3 Things About Symbotic the Smartest Investors Know,positive
"The article discusses the importance of earnings surprises in stock investing, highlighting the Zacks Earnings ESP tool as a way to identify stocks that may beat their earnings estimates. It provides examples of two stocks, Arch Capital Group and Capital Southwest, that have a positive Earnings ESP and could potentially post earnings beats.","['earnings', 'earnings surprises', 'Zacks Earnings ESP', 'stock investing']",Why Investors Need to Take Advantage of These 2 Finance Stocks Now,positive
"Super Micro Computer (SMCI) stock has gained 3% in the past four weeks, and Wall Street analysts expect it to climb 25.5% further based on their price targets. The company's earnings estimate revisions have been positive, indicating potential upside for the stock.","['Super Micro', 'price target', 'earnings estimate revisions']",Can Super Micro (SMCI) Climb 25.53% to Reach the Level Wall Street Analysts Expect?,positive
"Sixth Street (TSLX) is expected to report a year-over-year increase in earnings on higher revenues for the quarter ended March 2023. The company's earnings are expected to beat the consensus estimate, and analysts have become more bullish on the company's earnings prospects.","['earnings', 'earnings-consensus', 'earnings-esp', 'earnings-estimates-revisions', 'earnings-expectations', 'earnings-preview', 'stock-price-change', 'zacks-consensus-estimate']",Sixth Street (TSLX) Earnings Expected to Grow: What to Know Ahead of Next Week's Release,positive
"Arcutis Biotherapeutics has received regulatory approval from Health Canada for its topical PDE4 inhibitor therapy, ZORYVE (roflumilast) cream 0.3%, for the treatment of plaque psoriasis in individuals 12 years and older.","['plaque psoriasis', 'topical treatment', 'PDE4 inhibitor']",Arcutis Announces Canadian Approval of ZORYVE™ (roflumilast) Cream 0.3% for Treatment of Plaque Psoriasis in Individuals 12 Years and Older,positive
"Remitly, a leading digital financial services provider for immigrants, announced that its management team will present at the Barclays Emerging Payments and FinTech Forum on May 18 and the JP Morgan Global Technology, Media and Communications Conference on May 22.","['Remitly', 'investor conferences', 'digital financial services', 'immigrants']",Remitly Announces Investor Conference Participation for May 2023,positive
"Spartan RV Chassis has optimized its Connected Coach experience, which includes a digital dash, tri-pod steering wheel, and advanced safety systems, to enhance driver convenience and safety. The company is showcasing these features at the Florida RV SuperShow.","['RV', 'technology', 'safety', 'driver experience']",Spartan® RV Chassis Brings a Legacy of Innovation to the Florida RV SuperShow,positive
"Selective Insurance reported Q4 earnings in line with estimates but missed on revenues. The company's stock is expected to underperform the market in the near future due to unfavorable earnings estimate revisions. Another industry player, United Fire Group (UFCS), is also set to report earnings soon.","['earnings', 'earnings-estimates', 'earnings-outlook', 'earnings-surprise', 'industry-outlook', 'zacks-consensus-estimate', 'zacks-rank']",Selective Insurance (SIGI) Q4 Earnings Match Estimates,negative
The Invesco Russell 1000 Equal Weight ETF (EQAL) is a passively managed exchange-traded fund that offers broad exposure to the Large Cap Blend segment of the US equity market. The ETF has gained about 2.05% so far this year and is up about 2.25% in the last one year. Investors may consider EQAL as a sufficient option for exposure to the Large Cap Blend market.,"['Invesco Russell 1000 Equal Weight ETF', 'Large Cap Blend', 'ETF']",Should Invesco Russell 1000 Equal Weight ETF (EQAL) Be on Your Investing Radar?,neutral
"Silver prices have declined 6% so far this year due to rising interest rates, a stronger dollar, and weak industrial demand. However, some silver mining companies like Pan American Silver, Hecla Mining, Vizsla Silver, and Avino Silver Mines are poised to benefit from enhanced operational efficiency, disciplined cost management, and solid projects.","['silver prices', 'silver mining', 'operational efficiency', 'cost management', 'solid projects']",4 Silver Mining Stocks to Watch Amid Industry Challenges,positive
"Crawford (CRD.A) stock closed the most recent trading day at $8.55, moving -1.16% from the previous trading session. The company is expected to post earnings of $0.16 per share, marking a 6.67% year-over-year growth, with quarterly revenue of $290.7 million, up 4.18% from the year-ago period.","['Crawford', 'earnings', 'revenue', 'stock performance']",Crawford (CRD.A) Dips More Than Broader Markets: What You Should Know,neutral
"The article discusses the SPDR S&P Pharmaceuticals ETF (XPH), a smart beta exchange-traded fund that provides broad exposure to the healthcare sector. It explains the concept of smart beta ETFs and compares XPH to other pharmaceutical ETFs like IHE and PPH.","['SPDR S&P Pharmaceuticals ETF', 'smart beta ETFs', 'healthcare sector', 'pharmaceutical ETFs']",Is SPDR S&P Pharmaceuticals ETF (XPH) a Strong ETF Right Now?,neutral
"Upstart Holdings is set to report Q2 2023 results on Aug 8. The company expects revenues of around $135 million, while the consensus estimate is $133.9 million, suggesting a 41.3% year-over-year decline. The consensus mark for earnings is a loss of 6 cents per share, unchanged in the past seven days, indicating a 700% plunge. Factors like strategy to operate as a multiproduct company, launch of Upstart Macro Index, and growing partner base are expected to have aided the company's performance, while macro headwinds and funding constraints may have hurt the top line.","['Upstart Holdings', 'earnings', 'Q2 2023', 'revenue', 'earnings per share']",Upstart (UPST) to Report Q2 Earnings: What's in the Cards?,neutral
"Apple is a dominant tech company with a strong balance sheet and diversifying into digital services, which could help it weather economic challenges. Its stock is currently trading at an attractive valuation, making it a potential investment opportunity.","['Apple', 'tech', 'investment', 'digital services', 'valuation']",Is Apple Stock a Buy?,positive
"The article discusses potential signs of a pullback in the tech sector, including weakness in Bitcoin, a potential 'sell the news' event, and outperformance of healthcare stocks like Dexcom, Merck, and Intuitive Surgical. It also notes that money is moving into beaten-down sectors like regional banks.","['Nasdaq 100 ETF', 'Dexcom', 'Merck', 'Intuitive Surgical', 'SPDR S&P Regional Bank ETF', 'tech sector', 'Bitcoin', 'healthcare stocks', 'regional banks']","Zacks Investment Ideas feature highlights: Nasdaq 100 ETF, Dexcom, Merck, Intuitive Surgical and SPDR S&P Regional Bank ETF",positive
"Insight Enterprises (NSIT) has seen a 8.09% increase in its stock price over the past week, outperforming its industry. The company has a Momentum Style Score of A and a Zacks Rank of #1 (Strong Buy), indicating strong momentum and positive earnings estimate revisions.","['Insight Enterprises', 'momentum investing', 'Zacks Rank', 'Momentum Style Score']",Insight Enterprises (NSIT) Is Up 8.09% in One Week: What You Should Know,positive
"The S&P 500 index gained 1.46% on Tuesday, with the Nasdaq 100 jumping 1.59%. Market volatility, as measured by the CBOE Volatility Index (VIX), decreased by 2.7%. Caterpillar reported worse-than-expected Q4 earnings, while Pfizer's quarterly earnings beat expectations but its FY23 guidance fell short.","['S&P 500', 'Nasdaq 100', 'market volatility', 'CBOE Volatility Index', 'Caterpillar', 'Pfizer']","S&P 500 Jumps 1.5%, Market Volatility Decreases",negative
"SL Green's shares rallied 9.8% as the company signed a long-term lease with Palo Alto Networks, reflecting decent demand for its high-quality office properties. The company's office leasing pipeline also increased, boosting investor confidence.","['SL Green', 'office real estate', 'tenant demand', 'Palo Alto Networks', 'office leasing']",SL Green (SLG) Surges 9.8%: Is This an Indication of Further Gains?,positive
"Alphabet (GOOGL) stock closed at $104.36, up 0.61% from the previous day, outpacing the S&P 500's 0.37% gain. The company is expected to report earnings of $1.15 per share, a year-over-year decline of 6.5%, with revenue of $56.95 billion, up 1.65% from the year-ago period.","['Alphabet', 'earnings', 'revenue', 'stock price']",Alphabet (GOOGL) Outpaces Stock Market Gains: What You Should Know,neutral
"If you had invested $1,000 in Arch Capital Group 10 years ago, your investment would now be worth $4,164.10, a gain of over 316%. This outperformed the S&P 500 and gold over the same period. Analysts expect further upside for Arch Capital due to its strong product portfolio, premium growth, and strategic acquisitions, though exposure to catastrophe losses and high leverage pose risks.","['Arch Capital Group', 'investment performance', 'stock market', 'financial analysis']","If You Invested $1000 in Arch Capital Group a Decade Ago, This is How Much It'd Be Worth Now",positive
